,precision,recall,f1-score,support
2-sat,0.868421052631579,0.8048780487804879,0.8354430379746836,41.0
3-sat,0.9300699300699301,0.9236111111111112,0.926829268292683,144.0
algorithm-analysis,0.923728813559322,0.992296918767507,0.9567859554355166,1428.0
algorithm-design,0.9452054794520548,0.8625,0.9019607843137255,80.0
algorithms,0.90345686701962,0.9973641989456796,0.9480908546217114,8726.0
ambiguity,0.9847328244274809,0.9772727272727273,0.9809885931558935,132.0
amortized-analysis,0.9652173913043478,0.9910714285714286,0.9779735682819384,112.0
applied-theory,0.9180327868852459,1.0,0.9572649572649573,56.0
approximation,0.9535783365570599,0.9801192842942346,0.9666666666666667,503.0
arithmetic,0.7306397306397306,0.9601769911504425,0.8298279158699808,226.0
arrays,0.803347280334728,0.9576059850374065,0.8737201365187713,401.0
artificial-intelligence,0.9493975903614458,0.9471153846153846,0.9482551143200962,416.0
assignment-problem,0.9368421052631579,0.898989898989899,0.9175257731958762,99.0
asymptotics,0.8835555555555555,0.9745098039215686,0.9268065268065268,1020.0
automata,0.9548936170212766,0.9689119170984456,0.9618516930990142,1158.0
automated-theorem-proving,0.85,1.0,0.918918918918919,68.0
average-case,1.0,1.0,1.0,95.0
backtracking,1.0,0.6507936507936508,0.7884615384615384,63.0
balanced-search-trees,0.856,0.9907407407407407,0.9184549356223176,108.0
big-o-notation,0.9318181818181818,0.44808743169398907,0.6051660516605166,183.0
binary,0.782051282051282,0.6559139784946236,0.7134502923976608,93.0
binary-arithmetic,0.9285714285714286,0.8387096774193549,0.8813559322033898,31.0
binary-search,1.0,0.8979591836734694,0.946236559139785,98.0
binary-search-trees,0.9538461538461539,0.6526315789473685,0.775,95.0
binary-trees,0.874468085106383,0.9879807692307693,0.927765237020316,416.0
bipartite-matching,0.9757575757575757,0.92,0.9470588235294117,175.0
bloom-filters,1.0,1.0,1.0,41.0
board-games,0.8899082568807339,0.9150943396226415,0.9023255813953488,106.0
books,1.0,1.0,1.0,83.0
boolean-algebra,0.9073170731707317,0.9029126213592233,0.9051094890510949,206.0
c,1.0,0.5606060606060606,0.7184466019417476,66.0
category-theory,0.9572649572649573,1.0,0.9781659388646288,112.0
cellular-automata,0.8904109589041096,1.0,0.9420289855072463,65.0
check-my-answer,0.975609756097561,0.7272727272727273,0.8333333333333334,55.0
check-my-proof,0.8333333333333334,0.9459459459459459,0.8860759493670886,37.0
chomsky-hierarchy,1.0,0.7692307692307693,0.8695652173913043,52.0
church-turing-thesis,0.9722222222222222,0.9333333333333333,0.9523809523809523,75.0
circuits,0.8995983935742972,0.9491525423728814,0.9237113402061856,236.0
classification,0.9666666666666667,0.9508196721311475,0.9586776859504132,122.0
clique,0.967032967032967,1.0,0.9832402234636871,88.0
clocks,0.9459459459459459,1.0,0.9722222222222222,35.0
closure-properties,0.8883610451306413,1.0,0.9408805031446541,374.0
clustering,0.9484536082474226,0.8679245283018868,0.9064039408866995,106.0
coding-theory,0.92,0.9526627218934911,0.936046511627907,169.0
colorings,0.8359375,0.856,0.8458498023715415,125.0
combinatorics,0.9246987951807228,0.985553772070626,0.9541569541569541,623.0
combinatory-logic,1.0,1.0,1.0,46.0
communication-complexity,1.0,0.8490566037735849,0.9183673469387755,53.0
communication-protocols,0.8461538461538461,0.9166666666666666,0.88,72.0
comparison,0.8095238095238095,0.723404255319149,0.7640449438202247,47.0
compilers,0.9101123595505618,1.0,0.9529411764705882,486.0
complexity-classes,0.9405034324942791,0.9470046082949308,0.9437428243398392,434.0
complexity-theory,0.9259731971920868,0.9977079990831996,0.9605030891438658,4363.0
computability,0.9219422249539029,0.9933774834437086,0.9563277016257571,1510.0
computation-models,0.9042056074766355,0.9822335025380711,0.9416058394160584,394.0
computational-geometry,0.8886283704572099,0.9856957087126138,0.9346485819975339,769.0
computer-algebra,1.0,0.8979591836734694,0.946236559139785,49.0
computer-architecture,0.7829021372328459,1.0,0.8782334384858044,696.0
computer-games,1.0,1.0,1.0,42.0
computer-networks,0.9702970297029703,0.9607843137254902,0.9655172413793104,204.0
computer-vision,1.0,0.9469026548672567,0.9727272727272728,226.0
concurrency,0.9283018867924528,1.0,0.9628180039138943,246.0
consensus,1.0,0.7719298245614035,0.8712871287128713,57.0
constraint-programming,0.9636363636363636,0.9298245614035088,0.9464285714285714,57.0
constraint-satisfaction,0.9397590361445783,0.7358490566037735,0.8253968253968254,106.0
context-free,0.9567847882454624,0.9736147757255936,0.96512641673932,1137.0
context-sensitive,1.0,0.95,0.9743589743589743,100.0
convex-hull,1.0,0.9,0.9473684210526315,30.0
coq,1.0,1.0,1.0,59.0
correctness-proof,0.8793650793650793,1.0,0.9358108108108109,277.0
counting,1.0,0.9261744966442953,0.9616724738675958,149.0
cpu,0.9316770186335404,0.8333333333333334,0.8797653958944281,180.0
cpu-cache,0.9395973154362416,0.9859154929577465,0.9621993127147767,142.0
cpu-pipelines,1.0,1.0,1.0,76.0
cryptography,0.8098859315589354,0.9953271028037384,0.8930817610062893,214.0
curry-howard,0.9818181818181818,1.0,0.9908256880733946,54.0
dag,0.9322033898305084,0.9243697478991597,0.9282700421940928,119.0
data-compression,0.9311926605504587,0.9902439024390244,0.9598108747044918,205.0
data-mining,0.8583333333333333,0.9537037037037037,0.9035087719298246,108.0
data-structures,0.9308323563892146,0.9962358845671268,0.9624242424242424,1594.0
database-theory,0.9357142857142857,0.8506493506493507,0.891156462585034,154.0
databases,0.9306930693069307,0.8034188034188035,0.8623853211009175,117.0
deadlocks,1.0,0.9649122807017544,0.9821428571428571,57.0
decision-problem,0.8552036199095022,0.9310344827586207,0.8915094339622641,406.0
denotational-semantics,0.7777777777777778,0.8484848484848485,0.8115942028985508,33.0
dependent-types,0.9312977099236641,1.0,0.9644268774703557,122.0
descriptive-complexity,1.0,0.8387096774193549,0.9122807017543859,31.0
dictionaries,0.8695652173913043,0.9302325581395349,0.898876404494382,43.0
didactics,1.0,1.0,1.0,19.0
digital-circuits,0.8870967741935484,0.9482758620689655,0.9166666666666666,58.0
discrete-mathematics,0.9880597014925373,0.8733509234828496,0.927170868347339,379.0
distributed-systems,0.8708791208791209,1.0,0.9309838472834068,317.0
divide-and-conquer,1.0,0.5473684210526316,0.7074829931972789,95.0
dynamic-programming,0.9166666666666666,0.9166666666666666,0.9166666666666666,696.0
edit-distance,0.9272727272727272,0.9107142857142857,0.918918918918919,56.0
education,0.9411764705882353,0.9739130434782609,0.9572649572649573,115.0
efficiency,0.8937007874015748,1.0,0.9438669438669439,227.0
encoding-scheme,0.7796610169491526,0.8518518518518519,0.8141592920353983,108.0
encryption,0.9245283018867925,0.9423076923076923,0.9333333333333333,52.0
entropy,0.9791666666666666,0.9591836734693877,0.9690721649484536,98.0
enumeration,0.43243243243243246,0.972972972972973,0.5987525987525988,148.0
equality,0.9545454545454546,0.8936170212765957,0.9230769230769231,47.0
error-correcting-codes,0.912621359223301,0.94,0.9261083743842364,100.0
error-estimation,0.9444444444444444,0.8717948717948718,0.9066666666666666,39.0
euclidean-distance,0.7948717948717948,0.6739130434782609,0.7294117647058823,46.0
evolutionary-computing,1.0,1.0,1.0,33.0
factoring,0.9418604651162791,0.9204545454545454,0.9310344827586207,88.0
finite-automata,0.966988727858293,1.0,0.9832173557101924,1201.0
finite-sets,0.9090909090909091,1.0,0.9523809523809523,40.0
first-order-logic,0.9555555555555556,0.9502762430939227,0.9529085872576177,181.0
floating-point,1.0,0.9735449735449735,0.9865951742627346,189.0
formal-grammars,0.8151016456921588,0.9952718676122931,0.8962213943587014,846.0
formal-languages,0.8960285586791611,0.9935675408213755,0.9422806194274989,2021.0
formal-methods,0.8905109489051095,0.8905109489051095,0.8905109489051095,137.0
fourier-transform,1.0,0.9545454545454546,0.9767441860465116,44.0
functional-programming,0.9382352941176471,0.9906832298136646,0.9637462235649547,322.0
game-theory,0.952755905511811,0.8962962962962963,0.9236641221374046,135.0
genetic-algorithms,1.0,1.0,1.0,96.0
graph-isomorphism,0.9247311827956989,1.0,0.9608938547486033,86.0
graph-traversal,0.9505494505494505,0.9105263157894737,0.9301075268817204,380.0
graphics,0.8910891089108911,0.8823529411764706,0.8866995073891626,102.0
graphs,0.9413048750909532,0.9925831202046036,0.9662641603386033,3910.0
greedy-algorithms,0.9756944444444444,0.9093851132686084,0.9413735343383585,309.0
group-theory,0.94,1.0,0.9690721649484536,47.0
halting-problem,0.9587301587301588,1.0,0.9789303079416531,302.0
hamiltonian-path,1.0,1.0,1.0,84.0
hash,0.8566433566433567,0.953307392996109,0.9023941068139963,257.0
hash-tables,0.8644859813084113,1.0,0.9273182957393483,185.0
hashing,1.0,0.725,0.8405797101449275,120.0
haskell,0.9242424242424242,0.9682539682539683,0.9457364341085271,63.0
heaps,0.9580838323353293,0.9580838323353293,0.9580838323353293,167.0
heuristics,0.8761904761904762,0.968421052631579,0.92,190.0
history,0.9212598425196851,0.9512195121951219,0.936,123.0
hoare-logic,0.8840579710144928,1.0,0.9384615384615385,61.0
homotopy-type-theory,1.0,1.0,1.0,37.0
huffman-coding,0.9482758620689655,0.859375,0.9016393442622951,64.0
image-processing,0.8536585365853658,0.9545454545454546,0.9012875536480687,220.0
imperative-programming,0.8387096774193549,0.9285714285714286,0.8813559322033898,28.0
induction,0.8790322580645161,0.8861788617886179,0.8825910931174089,123.0
inductive-datatypes,1.0,0.9459459459459459,0.9722222222222222,37.0
information-retrieval,1.0,0.7560975609756098,0.8611111111111112,41.0
information-theory,0.8687943262411347,0.95703125,0.9107806691449815,256.0
integer-programming,0.9545454545454546,0.945,0.949748743718593,200.0
integers,0.8676470588235294,0.9725274725274725,0.917098445595855,182.0
interactive-proof-systems,1.0,1.0,1.0,56.0
interpreters,0.8863636363636364,1.0,0.9397590361445783,39.0
intervals,1.0,0.9142857142857143,0.9552238805970149,105.0
intuition,0.7246376811594203,0.9259259259259259,0.8130081300813008,54.0
java,1.0,0.5416666666666666,0.7027027027027027,48.0
knapsack-problems,0.9230769230769231,0.9411764705882353,0.9320388349514563,204.0
knowledge-representation,0.7317073170731707,0.7894736842105263,0.759493670886076,38.0
kolmogorov-complexity,0.9906542056074766,1.0,0.9953051643192489,106.0
lambda-calculus,0.9724770642201835,1.0,0.986046511627907,530.0
landau-notation,0.7981366459627329,0.9178571428571428,0.8538205980066446,280.0
language-design,0.98,0.9423076923076923,0.9607843137254902,52.0
lattices,1.0,0.78125,0.8771929824561403,32.0
learning-theory,1.0,0.8382352941176471,0.912,68.0
linear-algebra,1.0,0.9545454545454546,0.9767441860465116,220.0
linear-bounded-automata,0.8958333333333334,0.9555555555555556,0.9247311827956989,45.0
linear-programming,0.9515669515669516,0.9881656804733728,0.969521044992743,338.0
linear-temporal-logic,0.9253731343283582,0.8378378378378378,0.8794326241134752,74.0
linked-lists,1.0,1.0,1.0,66.0
lists,0.9622641509433962,1.0,0.9807692307692307,51.0
logic,0.8387096774193549,0.9873417721518988,0.9069767441860465,790.0
logic-programming,0.8918918918918919,1.0,0.9428571428571428,33.0
loop-invariants,1.0,0.9508196721311475,0.9747899159663865,61.0
loops,1.0,0.7542372881355932,0.8599033816425121,118.0
lower-bounds,0.9715447154471545,0.9715447154471545,0.9715447154471545,246.0
machine-learning,0.9036742800397219,0.9923664122137404,0.9459459459459459,917.0
machine-models,0.9791666666666666,1.0,0.9894736842105263,47.0
markov-chains,1.0,0.9107142857142857,0.9532710280373832,56.0
master-theorem,0.8905109489051095,0.9457364341085271,0.9172932330827067,129.0
matching,0.925,0.9736842105263158,0.9487179487179487,190.0
mathematical-analysis,0.9787234042553191,1.0,0.989247311827957,92.0
mathematical-foundations,0.9381443298969072,1.0,0.9680851063829787,91.0
mathematical-programming,0.9137931034482759,0.44166666666666665,0.5955056179775281,120.0
matrices,0.9877551020408163,0.9603174603174603,0.9738430583501007,252.0
memory-access,0.9252336448598131,0.9428571428571428,0.9339622641509434,105.0
memory-allocation,1.0,0.8846153846153846,0.9387755102040817,52.0
memory-hardware,0.9285714285714286,0.7222222222222222,0.8125,126.0
memory-management,0.9519230769230769,0.9209302325581395,0.9361702127659575,215.0
minimum-spanning-tree,1.0,0.8888888888888888,0.9411764705882353,189.0
model-checking,0.9577464788732394,0.8292682926829268,0.8888888888888888,82.0
modelling,0.9710144927536232,0.8589743589743589,0.9115646258503401,78.0
modular-arithmetic,1.0,0.5492957746478874,0.7090909090909091,71.0
monte-carlo,0.9555555555555556,0.7962962962962963,0.8686868686868687,54.0
multiplication,0.863013698630137,0.863013698630137,0.863013698630137,73.0
mutual-exclusion,0.9642857142857143,1.0,0.9818181818181818,54.0
natural-language-processing,0.9245283018867925,0.9483870967741935,0.9363057324840764,155.0
nearest-neighbour,1.0,0.8571428571428571,0.9230769230769231,63.0
network-flow,0.9962406015037594,0.9532374100719424,0.9742647058823529,278.0
neural-networks,0.9487179487179487,0.9711286089238845,0.959792477302205,381.0
nondeterminism,0.937007874015748,0.941952506596306,0.9394736842105263,379.0
normal-forms,0.9411764705882353,0.9523809523809523,0.9467455621301775,84.0
notation,0.8809523809523809,0.9426751592356688,0.9107692307692308,157.0
np,0.96,0.9022556390977443,0.9302325581395349,532.0
np-complete,0.9222222222222223,0.9936153232242618,0.9565885516711486,1253.0
np-hard,0.8975069252077562,0.9803328290468987,0.9370932754880694,661.0
number-formats,0.9577464788732394,1.0,0.9784172661870504,68.0
number-theory,0.8871595330739299,0.9047619047619048,0.8958742632612967,252.0
numerical-algorithms,0.7916666666666666,0.9779411764705882,0.875,136.0
numerical-analysis,0.8953488372093024,0.9746835443037974,0.9333333333333333,79.0
object-oriented,0.9682539682539683,0.9384615384615385,0.953125,65.0
one-way-functions,0.8837209302325582,0.9743589743589743,0.926829268292683,39.0
online-algorithms,1.0,0.7857142857142857,0.88,70.0
operating-systems,0.8983364140480592,0.9662027833001988,0.9310344827586207,503.0
operational-semantics,0.8936170212765957,1.0,0.9438202247191011,42.0
optimization,0.907035175879397,0.9710827168796234,0.9379668723611562,1487.0
oracle-machines,0.965034965034965,0.9787234042553191,0.971830985915493,141.0
os-kernel,1.0,0.9571428571428572,0.9781021897810219,70.0
p-vs-np,0.9489795918367347,0.9946524064171123,0.9712793733681462,187.0
packing,0.8333333333333334,1.0,0.9090909090909091,80.0
paging,0.975,0.9512195121951219,0.9629629629629629,82.0
parallel-computing,0.964,0.9757085020242915,0.9698189134808853,247.0
parameterized-complexity,0.8942307692307693,1.0,0.9441624365482234,93.0
parsers,0.9455782312925171,0.972027972027972,0.9586206896551724,286.0
parsing,0.8620689655172413,0.9615384615384616,0.9090909090909091,52.0
partial-order,0.9411764705882353,1.0,0.9696969696969697,64.0
partitions,0.8280254777070064,0.87248322147651,0.8496732026143791,149.0
pattern-recognition,0.8461538461538461,0.8712871287128713,0.8585365853658536,101.0
performance,0.9519230769230769,0.9,0.9252336448598131,110.0
permutations,0.8846153846153846,0.9633507853403142,0.9223057644110275,191.0
planar-graphs,1.0,0.9152542372881356,0.9557522123893806,59.0
polygons,1.0,0.8913043478260869,0.9425287356321839,46.0
polynomial-time,0.7736720554272517,0.9228650137741047,0.8417085427135679,363.0
polynomial-time-reductions,1.0,0.5733333333333334,0.7288135593220338,75.0
polynomials,0.8932038834951457,0.8288288288288288,0.8598130841121495,111.0
primes,0.9019607843137255,0.989247311827957,0.9435897435897436,93.0
primitive-recursion,0.9152542372881356,1.0,0.9557522123893806,54.0
priority-queues,0.8333333333333334,1.0,0.9090909090909091,65.0
probabilistic-algorithms,0.9371428571428572,0.8817204301075269,0.9085872576177285,186.0
probability-theory,0.8741258741258742,0.97911227154047,0.9236453201970444,383.0
process-algebras,1.0,1.0,1.0,29.0
process-scheduling,0.9545454545454546,0.8974358974358975,0.9251101321585903,117.0
program-optimization,1.0,1.0,1.0,82.0
programming-languages,0.9320388349514563,0.987146529562982,0.9588014981273408,778.0
programming-paradigms,0.8611111111111112,1.0,0.9253731343283582,31.0
prolog,0.8823529411764706,0.9375,0.9090909090909091,32.0
proof-assistants,0.9743589743589743,1.0,0.987012987012987,76.0
proof-techniques,0.9423423423423424,0.9961904761904762,0.9685185185185186,525.0
propositional-logic,0.9154929577464789,0.9219858156028369,0.9187279151943463,141.0
pseudo-random-generators,0.944954128440367,0.9363636363636364,0.9406392694063926,110.0
pumping-lemma,0.9910179640718563,0.9678362573099415,0.9792899408284024,342.0
pushdown-automata,0.9466666666666667,0.9752747252747253,0.9607577807848444,364.0
python,1.0,0.36134453781512604,0.5308641975308642,119.0
quantum-computing,0.9911111111111112,0.9780701754385965,0.9845474613686535,228.0
quicksort,0.9292035398230089,0.963302752293578,0.9459459459459459,109.0
random-number-generator,1.0,1.0,1.0,54.0
randomized-algorithms,0.9316037735849056,0.9875,0.9587378640776699,400.0
randomness,0.95260663507109,0.9852941176470589,0.9686746987951808,204.0
real-numbers,1.0,1.0,1.0,47.0
recurrence-relation,0.9328358208955224,0.9823182711198428,0.9569377990430622,509.0
recursion,0.9657142857142857,0.8666666666666667,0.9135135135135135,390.0
reductions,0.9640657084188912,0.9571865443425076,0.960613810741688,981.0
reference-question,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
reference-request,0.9131736526946108,0.9891891891891892,0.9496626881162429,925.0
regular-expressions,0.9980769230769231,0.9810964083175804,0.9895138226882746,529.0
regular-languages,0.9399696048632219,0.995172968624296,0.9667838999609223,1243.0
reinforcement-learning,0.935064935064935,1.0,0.9664429530201343,72.0
relational-algebra,1.0,0.96,0.9795918367346939,50.0
relativization,0.9387755102040817,1.0,0.968421052631579,46.0
research,1.0,0.84,0.9130434782608695,50.0
rice-theorem,0.9024390243902439,0.7254901960784313,0.8043478260869565,51.0
runtime-analysis,0.9665271966527197,0.9928366762177651,0.9795053003533569,698.0
sampling,0.9705882352941176,1.0,0.9850746268656716,99.0
sat-solvers,0.972972972972973,1.0,0.9863013698630136,108.0
satisfiability,0.9368770764119602,0.9842931937172775,0.96,573.0
scheduling,0.9153439153439153,0.8737373737373737,0.8940568475452196,198.0
search-algorithms,0.9351351351351351,0.9774011299435028,0.9558011049723757,531.0
search-problem,1.0,0.8114754098360656,0.8959276018099548,122.0
search-trees,0.8685897435897436,0.9575971731448764,0.9109243697478991,283.0
searching,0.9661016949152542,0.9661016949152542,0.9661016949152542,59.0
security,0.8279569892473119,0.8953488372093024,0.8603351955307262,86.0
semantics,0.8859649122807017,0.9950738916256158,0.9373549883990719,203.0
semi-decidability,0.8646616541353384,0.9426229508196722,0.9019607843137255,122.0
set-cover,0.9473684210526315,0.907563025210084,0.927038626609442,119.0
sets,0.9244712990936556,0.8818443804034583,0.9026548672566371,347.0
shortest-path,0.9428076256499134,0.9908925318761385,0.9662522202486679,549.0
simulation,0.9548022598870056,0.9825581395348837,0.9684813753581661,172.0
social-networks,1.0,1.0,1.0,30.0
software-engineering,0.96,0.9113924050632911,0.935064935064935,79.0
software-verification,0.9252336448598131,0.9801980198019802,0.9519230769230769,101.0
sorting,0.9181446111869032,1.0,0.957325746799431,673.0
space-analysis,1.0,0.875,0.9333333333333333,40.0
space-complexity,0.8316831683168316,0.9790209790209791,0.8993576017130621,429.0
spanning-trees,0.8048780487804879,1.0,0.8918918918918919,132.0
stacks,0.9859154929577465,0.8860759493670886,0.9333333333333333,79.0
statistics,1.0,0.875,0.9333333333333333,120.0
storage,1.0,0.7272727272727273,0.8421052631578947,44.0
streaming-algorithm,0.96,0.96,0.96,50.0
string-metrics,0.9375,0.967741935483871,0.9523809523809523,62.0
strings,0.8921348314606742,0.9778325123152709,0.9330199764982373,406.0
subsequences,0.7910447761194029,0.954954954954955,0.8653061224489796,111.0
subset-sum,1.0,0.7105263157894737,0.8307692307692308,76.0
substrings,0.9444444444444444,0.9444444444444444,0.9444444444444444,126.0
synchronization,0.9809523809523809,0.9809523809523809,0.9809523809523809,105.0
syntax,0.8421052631578947,0.8421052631578947,0.8421052631578947,38.0
term-rewriting,0.9315068493150684,1.0,0.9645390070921985,68.0
terminology,0.8771266540642723,1.0,0.9345417925478349,928.0
threads,0.9555555555555556,0.9555555555555556,0.9555555555555556,90.0
tiling,1.0,1.0,1.0,44.0
time-complexity,0.9416135881104034,0.9263707571801567,0.9339299815740985,1915.0
topology,1.0,0.8888888888888888,0.9411764705882353,36.0
traveling-salesman,0.84,0.9385474860335196,0.8865435356200527,179.0
trees,0.9409984871406959,0.9658385093167702,0.9532567049808429,644.0
turing-completeness,0.9835164835164835,0.9728260869565217,0.9781420765027322,184.0
turing-machines,0.9767309875141884,0.9609156895589056,0.9687587953841824,1791.0
type-checking,0.8771929824561403,0.970873786407767,0.9216589861751152,103.0
type-inference,1.0,0.963855421686747,0.9815950920245399,83.0
type-theory,0.9624060150375939,1.0,0.9808429118773946,512.0
types-and-programming-languages,0.9180327868852459,1.0,0.9572649572649573,56.0
typing,0.6428571428571429,1.0,0.782608695652174,45.0
uncountability,0.9736842105263158,0.8409090909090909,0.9024390243902439,44.0
undecidability,0.9218045112781955,0.9808,0.9503875968992248,625.0
unification,1.0,0.972972972972973,0.9863013698630136,37.0
variable-binding,0.8,0.7272727272727273,0.7619047619047619,33.0
vc-dimension,0.803921568627451,1.0,0.8913043478260869,41.0
vertex-cover,1.0,1.0,1.0,51.0
virtual-memory,0.9777777777777777,0.9072164948453608,0.9411764705882353,97.0
weighted-graphs,0.9634146341463414,0.8033898305084746,0.8761552680221811,295.0
word-combinatorics,1.0,1.0,1.0,49.0
xor,1.0,0.8285714285714286,0.90625,35.0
micro avg,0.9187175098599935,0.9630583043594544,0.9403655000190422,89736.0
macro avg,0.9303685202521409,0.9263085744328264,0.9234426261342022,89736.0
weighted avg,0.9225248283383166,0.9630583043594544,0.9399978024099178,89736.0
samples avg,0.9179263702192377,0.9461393596986818,0.9254516267077567,89736.0
hamming_loss,0.0009762359881501463,0.0009762359881501463,0.0009762359881501463,34869.0
subset_accuracy,0.8613094725974361,0.8613094725974361,0.8613094725974361,34869.0
ndcg_at_5,0.948563517199545,0.948563517199545,0.948563517199545,34869.0
